3\xffX axis acceleration,Y axis acceleration,Z axis acceleration,Bicep signal,Shoulder signal,Pectoral signal
335,330,421,108,32,53
332,330,420,124,33,59
332,331,418,146,31,58
334,332,418,145,36,58
333,330,415,127,39,50
334,330,416,147,39,51
334,331,416,143,40,51
333,331,416,129,36,58
335,330,416,156,37,56
334,330,418,144,32,56
335,331,418,131,33,56
334,330,417,137,40,59
331,331,417,133,37,53
333,331,417,117,35,84
331,330,416,94,35,82
334,330,417,129,37,81
334,330,418,126,37,69
335,332,418,119,34,67
335,331,415,150,33,59
336,330,416,137,31,53
335,331,419,161,30,67
335,332,417,158,39,83
335,331,415,131,37,83
334,330,419,131,40,102
333,329,420,127,35,84
335,332,419,118,36,95
336,331,419,166,41,97
335,331,418,139,37,83
334,329,418,144,38,69
336,331,419,138,42,65
334,329,414,141,38,63
333,328,414,156,36,59
334,328,416,129,36,53
334,329,415,122,37,58
333,329,414,116,43,54
331,329,412,116,42,54
331,329,413,101,44,59
332,330,413,131,40,57
331,328,414,128,37,54
333,329,414,120,41,54
334,332,416,117,43,48
335,330,414,149,43,52
336,328,418,154,46,48
336,326,421,138,43,46
336,328,417,146,48,44
337,327,420,154,47,39
337,326,424,142,41,40
337,327,424,158,39,58
337,328,424,171,40,60
339,329,423,187,38,60
339,331,423,197,37,53
339,331,421,175,42,51
338,331,418,189,43,51
338,329,418,167,44,52
337,329,416,161,36,44
337,328,415,162,38,61
337,328,415,154,39,66
336,328,414,165,38,71
336,329,414,151,43,83
336,328,415,128,39,76
339,330,416,145,39,66
339,328,418,142,43,74
339,330,416,128,39,67
339,330,415,118,37,74
339,329,413,131,31,73
340,332,416,127,30,67
339,331,417,121,30,67
339,331,419,120,29,64
338,331,418,103,27,59
338,330,420,99,32,54
338,330,419,109,35,80
338,331,417,113,32,66
339,330,420,106,39,69
340,331,420,105,36,59
339,329,418,100,37,51
340,326,417,108,35,60
339,326,418,100,35,52
339,327,417,105,35,49
339,327,418,125,34,43
339,329,419,126,39,35
336,328,418,139,33,35
336,329,418,135,34,34
336,330,419,130,35,30
337,329,417,136,45,32
338,328,418,112,48,28
339,331,419,122,52,30
339,332,419,118,48,38
338,331,417,116,52,39
338,333,417,125,54,36
338,333,416,121,49,28
339,333,417,163,49,36
338,331,418,135,50,35
337,332,416,99,45,34
338,334,414,103,41,36
337,335,413,102,44,36
337,333,412,103,37,40
338,330,416,115,42,46
339,329,421,103,43,51
339,330,422,116,43,52
339,330,421,104,39,48
340,332,419,103,48,58
339,333,418,110,44,46
338,331,416,104,43,43
338,331,414,99,46,41
339,332,418,85,43,47
340,334,418,108,49,49
340,333,418,113,44,43
340,334,419,104,46,47
340,334,420,110,39,50
340,335,417,111,44,59
339,333,416,94,43,48
340,332,416,117,43,48
340,332,415,117,43,43
338,332,415,128,44,36
339,333,415,125,45,40
340,332,417,110,43,40
340,332,419,113,42,43
340,333,418,127,44,49
341,334,420,134,43,50
341,336,420,149,44,44
340,334,419,140,48,39
342,334,420,179,45,31
339,332,418,161,43,44
341,334,419,144,51,42
340,334,420,155,46,40
340,334,420,153,44,51
341,335,419,138,43,56
341,331,416,129,40,43
341,332,420,114,41,51
340,333,418,148,41,49
340,334,417,135,38,43
340,333,419,123,45,51
339,333,417,126,46,41
340,333,416,118,44,37
339,331,420,102,44,39
339,331,418,95,38,52
339,333,419,108,36,44
339,334,417,103,36,57
338,331,417,98,33,45
339,333,418,87,38,45
339,333,417,106,38,46
338,334,415,108,38,51
338,334,417,111,40,44
338,333,418,135,39,43
338,331,418,138,41,37
338,331,419,122,38,50
338,334,418,104,37,42
337,334,414,98,40,35
337,333,417,101,37,34
337,331,418,103,40,33
338,333,417,121,40,36
337,334,416,130,43,39
337,333,416,128,44,44
338,332,418,178,45,36
339,329,419,163,46,30
337,331,420,170,39,36
338,332,418,190,38,33
337,333,418,189,36,31
337,332,418,145,33,25
338,333,418,157,38,22
338,335,416,149,41,28
337,333,417,132,46,31
336,334,416,124,40,28
336,334,417,130,38,31
336,334,416,111,42,33
337,333,417,125,40,35
337,333,418,136,44,40
337,331,419,148,43,33
337,332,418,136,40,40
336,333,417,131,37,39
336,332,416,126,36,37
336,333,419,107,38,40
336,332,418,118,44,50
336,331,417,99,41,42
335,332,419,104,38,38
336,333,418,97,39,43
335,332,419,104,39,38
336,334,419,124,43,38
335,333,416,113,39,40
335,335,415,127,37,37
335,333,415,104,40,44
336,335,416,107,41,40
337,334,415,119,47,38
336,333,415,108,48,41
337,334,416,114,44,37
337,333,418,109,43,38
336,331,418,90,39,39
336,333,420,102,39,35
338,334,419,127,39,35
337,333,419,176,39,28
338,334,419,156,40,32
336,334,418,145,46,26
336,333,416,148,40,21
337,334,416,144,42,24
336,332,417,134,39,39
336,332,417,121,34,32
336,334,417,193,35,29
336,334,418,147,37,35
335,333,416,141,39,36
336,334,418,142,39,37
336,333,418,139,36,34
336,333,420,111,38,32
337,333,419,118,34,34
336,333,418,133,41,29
336,333,419,104,40,34
337,335,420,118,37,41
336,334,417,134,40,37
336,335,415,148,35,42
336,334,416,144,39,46
336,334,418,124,37,56
336,334,418,112,37,46
336,334,418,102,38,45
336,333,417,138,35,46
336,334,418,139,38,46
336,334,419,135,37,40
337,333,419,135,34,52
336,333,416,136,31,48
336,333,415,163,30,39
336,334,417,156,34,50
336,333,419,190,31,51
336,332,417,184,38,45
336,334,418,148,34,43
336,334,417,119,32,41
336,334,417,147,31,36
336,333,416,128,36,31
336,333,418,114,37,40
336,333,418,127,40,35
