\xf1X axis acceleration,Y axis acceleration,Bicep signal,Shoulder signal,Tricep signal,Forearm signal
540,482,5,26,66,13
539,482,5,29,68,14
538,483,4,31,74,16
538,483,5,30,79,18
540,482,6,29,75,21
539,483,5,29,79,21
541,483,5,25,77,19
539,483,6,26,75,19
539,482,6,32,70,18
539,482,6,33,64,17
539,482,6,30,61,19
539,483,6,28,58,20
540,481,6,30,58,21
541,481,6,28,52,22
540,481,6,30,49,22
539,481,6,29,45,22
540,482,5,33,39,21
540,482,5,32,34,20
540,481,5,33,36,21
540,482,5,33,31,23
540,482,6,35,30,22
540,482,6,34,29,20
540,482,5,32,32,20
540,482,5,30,28,21
540,481,6,33,32,24
540,482,7,32,30,25
540,481,7,29,29,25
539,483,6,28,26,25
540,481,7,30,28,23
540,482,6,30,32,20
540,482,6,28,29,18
540,482,5,26,32,16
540,482,5,30,39,16
540,482,5,32,35,18
540,483,5,29,37,18
540,483,5,28,37,16
540,481,6,29,38,16
540,482,6,32,36,15
539,482,5,32,38,15
540,483,6,29,35,15
540,482,5,27,31,14
541,482,5,26,36,14
540,482,5,25,30,14
540,482,5,26,25,13
539,481,6,24,28,13
540,482,5,25,25,13
540,482,5,26,24,13
540,482,5,26,20,13
540,481,5,27,25,13
541,481,6,26,25,13
539,482,5,31,24,13
539,483,5,29,24,13
541,482,5,27,25,12
539,482,5,33,27,14
540,483,5,34,30,16
540,483,5,33,30,20
539,484,5,31,32,26
540,482,6,31,31,29
539,482,6,27,29,32
539,482,5,30,27,36
540,482,6,31,28,37
540,482,6,32,26,36
540,482,5,33,24,34
539,481,6,30,26,32
540,482,6,27,24,27
540,482,6,28,27,24
541,482,6,25,26,21
540,482,5,30,29,20
540,482,5,29,32,18
540,481,6,27,29,16
540,482,5,30,31,16
540,482,5,31,29,15
540,482,6,28,32,14
540,482,6,29,30,14
540,482,6,31,30,13
540,481,5,35,33,13
539,482,5,34,31,13
540,482,5,32,31,13
540,482,6,29,28,13
540,481,6,33,36,13
540,482,6,37,34,13
540,482,5,33,33,13
540,483,6,32,29,13
539,482,5,38,29,12
540,482,5,35,27,13
540,483,5,31,23,12
540,482,6,28,21,13
540,482,5,30,25,13
540,481,5,32,26,13
541,482,5,31,26,13
540,482,6,28,21,13
539,482,5,32,20,15
540,482,5,31,24,15
540,482,5,30,21,14
540,482,5,29,22,14
540,482,6,30,26,15
540,482,5,28,28,14
540,483,5,28,24,14
540,482,4,29,36,14
539,482,5,27,30,14
539,482,5,30,29,13
540,482,6,31,27,13
540,482,5,37,25,13
539,482,5,33,27,13
540,482,5,38,29,13
540,482,5,39,29,12
540,481,6,39,26,13
540,483,5,34,23,13
540,482,6,36,22,13
540,483,6,36,22,13
540,482,6,37,22,14
540,481,6,39,24,18
540,482,5,37,25,19
540,482,5,42,23,20
540,481,6,43,26,21
540,482,5,38,24,20
540,481,5,34,22,21
540,482,6,42,28,20
540,482,5,43,30,20
540,483,6,38,26,20
540,483,5,34,26,19
540,482,5,32,23,18
540,481,5,38,22,17
540,482,5,37,20,16
539,482,6,34,21,15
540,482,5,31,19,15
540,483,5,31,18,14
540,482,6,34,20,15
540,482,6,34,29,15
540,482,6,31,29,15
540,482,6,32,30,14
540,482,5,36,30,13
541,482,6,35,36,13
540,482,6,32,37,14
539,482,5,31,39,13
540,483,6,28,47,13
539,481,6,31,45,14
541,482,6,31,46,15
540,481,6,32,53,15
540,482,6,35,49,15
540,481,6,36,48,16
540,482,5,32,45,16
540,482,5,32,45,15
540,482,5,31,36,14
539,482,5,31,30,13
540,482,5,32,27,14
540,482,5,31,25,15
539,482,5,33,22,14
541,482,5,31,26,14
540,483,5,28,23,14
539,482,4,26,22,16
540,482,5,25,21,17
539,482,5,36,24,17
539,482,5,33,24,16
541,482,5,32,21,15
539,483,5,29,25,15
540,482,6,32,26,16
540,481,5,34,24,15
540,482,5,33,25,15
540,482,6,31,24,16
541,482,5,29,21,15
541,482,5,29,21,16
541,482,5,32,21,16
540,482,5,32,27,18
540,482,5,33,24,19
540,482,5,33,24,19
540,482,4,32,20,22
540,480,5,35,26,27
540,483,5,33,23,31
540,482,5,30,21,35
540,482,5,30,20,36
540,482,5,27,23,38
539,482,4,27,22,33
540,482,5,32,23,31
540,482,5,31,22,27
540,482,6,33,22,24
539,482,5,31,24,22
541,482,5,32,23,19
540,483,6,37,21,18
539,482,5,36,24,16
540,482,6,36,28,16
540,483,5,37,25,15
540,482,5,38,30,14
542,481,6,35,30,14
540,483,5,34,31,14
540,482,6,31,30,14
540,481,6,31,27,16
541,482,5,32,27,17
540,482,5,29,30,17
541,482,5,28,28,15
540,482,5,30,29,15
541,482,5,28,25,15
540,481,5,28,27,13
539,482,5,25,32,14
540,482,6,23,29,14
540,482,5,23,28,14
540,482,4,36,29,14
539,483,5,32,30,14
540,482,4,31,32,14
540,483,5,34,33,14
540,482,5,30,38,14
539,482,5,29,37,15
540,482,6,28,36,14
539,482,5,27,39,14
540,482,5,30,42,15
539,483,5,28,40,14
540,481,5,31,37,14
539,482,5,34,39,14
541,482,6,32,37,13
540,481,6,29,39,13
540,480,5,26,40,13
540,481,5,30,38,13
540,482,5,31,43,13
540,482,5,28,41,13
540,482,5,26,38,14
541,482,5,26,36,12
540,481,5,29,36,13
540,482,5,26,35,13
540,482,6,24,32,12
540,482,5,25,31,13
540,481,6,24,29,13
539,482,5,27,29,13
539,482,5,27,30,13
539,482,5,36,29,14
539,482,5,36,27,14
540,482,4,36,30,15
540,482,5,30,29,15
540,482,5,29,26,14
540,482,5,30,25,15
540,483,6,27,29,17
540,483,5,27,27,16
540,482,5,24,25,16
540,482,5,24,25,16
540,482,5,23,25,17
