8\xfcX axis acceleration,Y axis acceleration,Z axis acceleration,Bicep signal,Shoulder signal,Pectoral signal
346,337,419,13,54,38
345,338,418,13,52,37
345,337,417,14,52,39
345,338,419,12,50,37
345,338,418,12,50,40
344,339,419,14,48,41
344,340,418,14,49,42
345,337,419,14,50,45
345,338,419,13,49,45
345,337,416,14,50,42
346,338,417,12,49,39
346,339,419,11,48,35
345,339,418,11,48,34
343,339,418,12,48,32
345,338,419,13,50,32
345,337,418,12,48,32
346,340,418,14,48,33
345,339,417,13,47,31
345,339,418,12,48,29
346,338,418,12,47,28
345,339,418,13,48,29
344,338,419,13,44,29
345,339,418,13,46,28
345,337,418,13,45,27
345,338,418,12,44,28
345,339,417,13,42,27
345,339,419,13,42,27
345,338,418,13,41,24
345,337,418,14,40,25
343,338,417,13,41,28
346,339,419,13,43,27
345,338,419,12,41,30
344,338,418,13,41,38
345,338,418,12,38,37
344,338,418,12,38,37
345,338,418,12,37,35
345,339,419,14,36,33
344,338,417,13,36,31
345,337,418,11,35,30
345,339,418,11,35,39
345,339,418,12,38,47
346,338,419,13,37,46
345,339,419,12,36,43
345,338,418,12,37,44
345,337,417,12,35,43
345,337,418,12,36,46
345,338,419,12,35,45
345,339,419,13,34,46
344,338,419,13,33,48
344,338,417,12,33,49
345,338,417,12,34,49
345,338,419,13,33,50
345,339,418,14,33,47
345,337,418,12,32,45
345,337,418,12,31,41
344,338,417,13,30,40
345,339,419,12,29,39
345,339,417,13,28,39
345,338,418,12,27,38
345,338,417,12,28,37
345,338,418,12,30,35
345,338,418,12,30,33
344,338,419,12,29,34
345,337,418,13,29,33
344,338,418,13,31,33
345,339,418,12,31,33
345,338,418,13,29,32
345,338,418,13,31,33
345,338,418,13,32,32
344,338,419,13,30,31
345,338,418,14,30,31
344,338,417,13,32,29
345,338,418,13,32,34
345,338,418,14,31,37
344,337,418,13,29,34
344,338,418,13,31,34
344,337,417,13,29,34
345,339,418,13,30,30
345,338,418,13,31,29
345,339,417,15,31,30
345,338,418,14,32,37
